sample_id,chromosome,gene_location,sequence_length,acceptance_status,acceptance_score,file_path
259,chr22,10,17281,True,-2455.9086760047758,chr22/10_sample_259.fasta
260,chr22,10,14167,True,-2042.7116501907103,chr22/10_sample_260.fasta
261,chr22,10,10800,True,-1530.6822596291242,chr22/10_sample_261.fasta
262,chr22,10,5155,True,-753.5016578209255,chr22/10_sample_262.fasta
263,chr22,10,27399,True,-4064.165460668406,chr22/10_sample_263.fasta
264,chr22,10,59504,True,-8530.991474054137,chr22/10_sample_264.fasta
265,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_265.fasta
266,chr22,10,12259,True,-1779.510634549125,chr22/10_sample_266.fasta
267,chr22,10,66379,True,-9576.757744680493,chr22/10_sample_267.fasta
268,chr22,10,17560,True,-2634.230951478888,chr22/10_sample_268.fasta
269,chr22,10,16929,True,-2510.6016362345113,chr22/10_sample_269.fasta
270,chr22,10,50867,True,-7302.411533433003,chr22/10_sample_270.fasta
271,chr22,10,67688,True,-9753.578030890201,chr22/10_sample_271.fasta
272,chr22,10,49618,True,-7230.911053700669,chr22/10_sample_272.fasta
273,chr22,10,9110,True,-1411.9185256820672,chr22/10_sample_273.fasta
274,chr22,10,10911,True,-1552.8879833414187,chr22/10_sample_274.fasta
275,chr22,10,90851,True,-13039.209317169922,chr22/10_sample_275.fasta
276,chr22,10,21699,True,-3084.296111931667,chr22/10_sample_276.fasta
277,chr22,10,34946,True,-5078.205397124783,chr22/10_sample_277.fasta
278,chr22,10,9325,True,-1373.3107475752674,chr22/10_sample_278.fasta
279,chr22,10,102611,True,-15240.750060524206,chr22/10_sample_279.fasta
280,chr22,10,24909,True,-3612.555569718708,chr22/10_sample_280.fasta
281,chr22,10,17351,True,-2508.9412108343113,chr22/10_sample_281.fasta
282,chr22,10,4008,True,-562.5713990277429,chr22/10_sample_282.fasta
283,chr22,10,468,True,-75.61309000194152,chr22/10_sample_283.fasta
284,chr22,10,43735,True,-6229.032982355171,chr22/10_sample_284.fasta
285,chr22,10,3915,True,-605.1681611811063,chr22/10_sample_285.fasta
286,chr22,10,17529,True,-2562.286441670686,chr22/10_sample_286.fasta
287,chr22,10,93041,True,-13706.044006935486,chr22/10_sample_287.fasta
288,chr22,10,51309,True,-7590.096803564539,chr22/10_sample_288.fasta
289,chr22,10,60592,True,-8832.13004642407,chr22/10_sample_289.fasta
290,chr22,10,29491,True,-4419.186063051833,chr22/10_sample_290.fasta
291,chr22,10,8258,True,-1222.5309092534192,chr22/10_sample_291.fasta
292,chr22,10,11433,True,-1569.537066708235,chr22/10_sample_292.fasta
293,chr22,10,64447,True,-9236.852958067979,chr22/10_sample_293.fasta
294,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_294.fasta
295,chr22,10,95085,True,-13837.784712474398,chr22/10_sample_295.fasta
296,chr22,10,23949,True,-3486.101549750951,chr22/10_sample_296.fasta
297,chr22,10,68660,True,-10110.435222107695,chr22/10_sample_297.fasta
298,chr22,10,55890,True,-8148.933955364123,chr22/10_sample_298.fasta
299,chr22,10,48290,True,-7144.385439166319,chr22/10_sample_299.fasta
300,chr22,10,1665,True,-251.52967689412924,chr22/10_sample_300.fasta
301,chr22,10,7164,True,-995.2807778996728,chr22/10_sample_301.fasta
302,chr22,10,16953,True,-2561.9466435970817,chr22/10_sample_302.fasta
303,chr22,10,65333,True,-9484.63692483288,chr22/10_sample_303.fasta
304,chr22,10,32012,True,-4486.253528661732,chr22/10_sample_304.fasta
305,chr22,10,13001,True,-1890.192168400775,chr22/10_sample_305.fasta
306,chr22,10,84188,True,-12291.167999011835,chr22/10_sample_306.fasta
307,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_307.fasta
308,chr22,10,6731,True,-946.1194440810584,chr22/10_sample_308.fasta
309,chr22,10,29674,True,-4422.706003088156,chr22/10_sample_309.fasta
310,chr22,10,6365,True,-946.1465461478142,chr22/10_sample_310.fasta
311,chr22,10,29751,True,-4306.32294378856,chr22/10_sample_311.fasta
312,chr22,10,10018,True,-1463.8003322217808,chr22/10_sample_312.fasta
313,chr22,10,24944,True,-3679.215482088126,chr22/10_sample_313.fasta
314,chr22,10,13251,True,-1953.1914318962079,chr22/10_sample_314.fasta
315,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_315.fasta
316,chr22,10,10511,True,-1484.8938926120316,chr22/10_sample_316.fasta
317,chr22,10,26642,True,-3892.2086676236263,chr22/10_sample_317.fasta
318,chr22,10,1643,True,-207.5601714130225,chr22/10_sample_318.fasta
319,chr22,10,40125,True,-5752.444778970935,chr22/10_sample_319.fasta
320,chr22,10,13947,True,-2011.624259067792,chr22/10_sample_320.fasta
321,chr22,10,13190,True,-1898.9539646433616,chr22/10_sample_321.fasta
322,chr22,10,31352,True,-4493.656132609964,chr22/10_sample_322.fasta
323,chr22,10,5161,True,-752.1018124264269,chr22/10_sample_323.fasta
324,chr22,10,12979,True,-1822.2501936725264,chr22/10_sample_324.fasta
325,chr22,10,139553,True,-20319.50933943297,chr22/10_sample_325.fasta
326,chr22,10,1757,True,-283.65001327119955,chr22/10_sample_326.fasta
327,chr22,10,31191,True,-4621.482895905468,chr22/10_sample_327.fasta
328,chr22,10,21627,True,-3297.1329494637444,chr22/10_sample_328.fasta
329,chr22,10,30813,True,-4449.595946159931,chr22/10_sample_329.fasta
330,chr22,10,22105,True,-3082.1489152231047,chr22/10_sample_330.fasta
331,chr22,10,63249,True,-9205.45287093822,chr22/10_sample_331.fasta
332,chr22,10,145511,True,-21197.785197598852,chr22/10_sample_332.fasta
333,chr22,10,3726,True,-565.1740887131871,chr22/10_sample_333.fasta
334,chr22,10,29986,True,-4409.119278648377,chr22/10_sample_334.fasta
335,chr22,10,25876,True,-3647.593379920439,chr22/10_sample_335.fasta
336,chr22,10,803,True,-123.27034642378243,chr22/10_sample_336.fasta
337,chr22,10,1798,True,-237.3133841759612,chr22/10_sample_337.fasta
338,chr22,10,78417,True,-11324.325649735685,chr22/10_sample_338.fasta
339,chr22,10,11786,True,-1694.6454454149864,chr22/10_sample_339.fasta
340,chr22,10,5595,True,-825.890197704986,chr22/10_sample_340.fasta
341,chr22,10,11224,True,-1578.2738490164443,chr22/10_sample_341.fasta
342,chr22,10,3320,True,-438.81074971434964,chr22/10_sample_342.fasta
343,chr22,10,43099,True,-6427.327280128872,chr22/10_sample_343.fasta
344,chr22,10,4041,True,-561.7604688115273,chr22/10_sample_344.fasta
345,chr22,10,1035,True,-168.90027730508257,chr22/10_sample_345.fasta
346,chr22,10,5168,True,-783.0985225804452,chr22/10_sample_346.fasta
347,chr22,10,2766,True,-401.14523589279975,chr22/10_sample_347.fasta
348,chr22,10,19486,True,-2889.5082031609145,chr22/10_sample_348.fasta
349,chr22,10,5243,True,-785.8189953015461,chr22/10_sample_349.fasta
350,chr22,10,304,True,-29.328576907842173,chr22/10_sample_350.fasta
351,chr22,10,48374,True,-6995.175345275728,chr22/10_sample_351.fasta
352,chr22,10,80766,True,-11754.169670784211,chr22/10_sample_352.fasta
353,chr22,10,5140,True,-759.1125022999231,chr22/10_sample_353.fasta
354,chr22,10,39431,True,-5739.485534677209,chr22/10_sample_354.fasta
355,chr22,10,9291,True,-1413.8395310879546,chr22/10_sample_355.fasta
356,chr22,10,22772,True,-3339.414927477911,chr22/10_sample_356.fasta
357,chr22,10,18880,True,-2710.9482734831195,chr22/10_sample_357.fasta
358,chr22,10,17069,True,-2483.5303312249034,chr22/10_sample_358.fasta
359,chr22,10,9009,True,-1293.5852707775007,chr22/10_sample_359.fasta
360,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_360.fasta
361,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_361.fasta
362,chr22,10,2329,True,-345.77267951589965,chr22/10_sample_362.fasta
363,chr22,10,17360,True,-2466.0046506073445,chr22/10_sample_363.fasta
364,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_364.fasta
365,chr22,10,69104,True,-10030.225062133919,chr22/10_sample_365.fasta
366,chr22,10,30613,True,-4270.030173294744,chr22/10_sample_366.fasta
367,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_367.fasta
368,chr22,10,9302,True,-1366.7711898443952,chr22/10_sample_368.fasta
369,chr22,10,30542,True,-4364.404509985572,chr22/10_sample_369.fasta
370,chr22,10,40637,True,-5986.520061995676,chr22/10_sample_370.fasta
371,chr22,10,11421,True,-1629.4875223099743,chr22/10_sample_371.fasta
372,chr22,10,21434,True,-3080.0715618138015,chr22/10_sample_372.fasta
